date,open,high,low,close
2019-01-08,138.9,139.387,138.123,138.856
2019-01-09,138.516,139.061,137.761,138.542
2019-01-10,138.428,138.475,137.419,138.463
2019-01-11,138.149,139.092,137.703,138.09
2019-01-14,139.365,139.99,138.609,139.358
2019-01-15,139.358,140.423,138.512,139.344
2019-01-16,139.856,140.319,138.991,139.839
2019-01-17,140.471,141.095,139.554,140.49
2019-01-18,141.691,142.067,141.223,141.708
2019-01-21,140.915,141.519,140.697,140.919
2019-01-22,141.367,141.869,140.649,141.345
2019-01-23,141.691,143.549,141.66,141.689
2019-01-24,143.218,143.533,142.732,143.231
2019-01-25,143.684,144.477,143.413,143.782
2019-01-28,144.467,144.498,143.61,144.488
2019-01-29,143.785,144.433,143.426,143.74
2019-01-30,143.105,143.574,142.821,143.06
2019-01-31,142.906,143.16,142.251,142.91
2019-02-01,142.679,143.452,142.098,142.682
2019-02-04,143.167,144.14,143.15,143.105
2019-02-05,143.309,143.48,142.053,143.29
2019-02-06,142.423,142.506,141.79,142.439
2019-02-07,142.231,142.61,141.115,142.218
2019-02-08,142.132,142.509,141.854,142.123
2019-02-11,142.057,142.499,141.875,142.01
2019-02-12,142.003,142.49,141.88,142.0
2019-02-13,142.448,143.299,142.426,142.47
2019-02-14,142.593,143.026,141.301,142.591
2019-02-15,141.451,142.16,141.023,141.455
2019-02-18,142.624,142.996,142.5,142.677
2019-02-19,142.88,144.28,142.477,142.9
2019-02-20,144.434,145.02,144.142,144.41
2019-02-21,144.486,144.914,144.112,144.488
2019-02-22,144.35,144.737,143.78,144.368
2019-02-25,144.697,145.067,144.45,144.714
2019-02-26,145.743,147.009,145.381,145.761
2019-02-27,146.578,148.024,146.158,146.561
2019-02-28,147.624,148.223,146.986,147.636
2019-03-01,147.718,148.563,147.69,147.704
2019-03-04,148.155,148.297,147.117,148.15
2019-03-05,147.268,147.721,146.617,147.297
2019-03-06,147.14,147.163,146.67,147.14
2019-03-07,147.134,147.274,146.025,147.127
2019-03-08,146.141,146.141,144.52,146.129
2019-03-11,144.21,145.663,143.723,144.259
2019-03-12,147.445,147.445,144.633,147.474
2019-03-13,145.425,147.167,145.418,145.405
2019-03-14,147.702,148.858,147.403,147.713
2019-03-15,148.16,148.266,147.446,148.156
2019-03-18,148.318,148.376,147.016,148.329
2019-03-19,147.725,148.019,147.519,147.697
2019-03-20,147.864,148.062,146.565,147.838
2019-03-21,146.109,146.383,144.87,146.12
2019-03-22,145.466,145.734,144.544,145.482
2019-03-25,145.413,145.786,144.67,145.365
2019-03-26,145.357,146.43,145.024,145.448
2019-03-27,145.99,146.377,145.53,146.02
2019-03-28,145.306,145.497,144.5,145.323
2019-03-29,144.44,145.384,143.879,144.421
2019-03-31,144.515,146.26,144.419,144.534
2019-04-01,145.603,145.645,144.944,145.633
2019-04-02,146.101,147.171,146.0,146.104
2019-04-03,146.755,146.946,145.741,146.763
2019-04-04,145.95,146.505,145.289,145.964
2019-04-07,145.608,145.622,145.105,145.631
2019-04-08,145.56,145.983,144.813,145.576
2019-04-09,144.96,145.641,144.959,145.058
2019-04-10,145.361,145.916,145.177,145.33
2019-04-11,145.723,146.966,145.69,145.72
2019-04-14,146.579,146.966,146.361,146.568
2019-04-15,146.637,146.739,146.0,146.61
2019-04-16,146.027,146.336,145.853,146.032
2019-04-17,146.058,146.058,145.409,146.02
2019-04-18,145.468,145.543,145.33,145.489
2019-04-21,145.39,145.498,145.2,145.392
2019-04-22,145.289,145.613,144.704,145.289
2019-04-23,144.713,144.882,144.4,144.737
2019-04-24,144.69,144.847,143.822,144.7
2019-04-25,143.865,144.414,143.74,143.888
2019-04-28,144.21,144.714,144.172,144.2
2019-04-29,144.42,145.354,144.047,144.465
2019-04-30,145.28,145.688,145.269,145.298
2019-05-01,145.469,145.852,145.112,145.477
2019-05-02,145.282,146.502,144.8,145.308
2019-05-05,145.434,145.541,144.99,145.479
2019-05-06,145.118,145.353,143.965,145.115
2019-05-07,144.042,144.065,143.059,144.06
2019-05-08,143.153,143.181,142.276,143.158
2019-05-09,142.908,143.218,142.49,142.839
2019-05-12,142.605,142.867,141.331,142.626
